Mon Oct 25 15:51:59 EDT 2021 | tT(mins):   9.692 |  f: 0 | RT(s):   5.281 | aRT(s):   6.684  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:04 EDT 2021 | tT(mins):   9.771 |  f: 0 | RT(s):   4.701 | aRT(s):   6.662  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:13 EDT 2021 | tT(mins):   9.923 |  f: 0 | RT(s):   9.95  | aRT(s):   6.689  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:22 EDT 2021 | tT(mins):  10.73  |  f: 0 | RT(s):   8.985 | aRT(s):   6.715  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:26 EDT 2021 | tT(mins):  10.151 |  f: 0 | RT(s):   4.658 | aRT(s):   6.693  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:35 EDT 2021 | tT(mins):  10.294 |  f: 0 | RT(s):   8.500 | aRT(s):   6.713  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:44 EDT 2021 | tT(mins):  10.442 |  f: 0 | RT(s):   8.858 | aRT(s):   6.736  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:48 EDT 2021 | tT(mins):  10.509 |  f: 0 | RT(s):   3.977 | aRT(s):   6.707  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:52:53 EDT 2021 | tT(mins):  10.599 |  f: 0 | RT(s):   5.368 | aRT(s):   6.694  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:01 EDT 2021 | tT(mins):  10.736 |  f: 0 | RT(s):   8.174 | aRT(s):   6.710  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:08 EDT 2021 | tT(mins):  10.848 |  f: 0 | RT(s):   6.698 | aRT(s):   6.710  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:16 EDT 2021 | tT(mins):  10.986 |  f: 0 | RT(s):   8.279 | aRT(s):   6.726  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:26 EDT 2021 | tT(mins):  11.152 |  f: 0 | RT(s):   9.921 | aRT(s):   6.759  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:34 EDT 2021 | tT(mins):  11.280 |  f: 0 | RT(s):   7.618 | aRT(s):   6.768  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:39 EDT 2021 | tT(mins):  11.369 |  f: 0 | RT(s):   5.298 | aRT(s):   6.753  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:43 EDT 2021 | tT(mins):  11.430 |  f: 0 | RT(s):   3.635 | aRT(s):   6.723  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:49 EDT 2021 | tT(mins):  11.520 |  f: 0 | RT(s):   5.406 | aRT(s):   6.711  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:54 EDT 2021 | tT(mins):  11.613 |  f: 0 | RT(s):   5.520 | aRT(s):   6.700  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:53:58 EDT 2021 | tT(mins):  11.684 |  f: 0 | RT(s):   4.207 | aRT(s):   6.676  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:07 EDT 2021 | tT(mins):  11.834 |  f: 0 | RT(s):   8.977 | aRT(s):   6.698  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:16 EDT 2021 | tT(mins):  11.981 |  f: 0 | RT(s):   8.788 | aRT(s):   6.718  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:23 EDT 2021 | tT(mins):  12.95  |  f: 0 | RT(s):   6.783 | aRT(s):   6.719  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:26 EDT 2021 | tT(mins):  12.145 |  f: 0 | RT(s):   2.971 | aRT(s):   6.685  maxRT(s):  15.143 | minRT(s):   2.647 
