Sun Nov 14 20:17:43 EST 2021 | tT(mins):   5.718 |  f: 0 | RT(s):   6.643 | aRT(s):   6.862  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:47 EST 2021 | tT(mins):   5.786 |  f: 0 | RT(s):   4.33  | aRT(s):   6.808  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:17:50 EST 2021 | tT(mins):   5.842 |  f: 0 | RT(s):   3.250 | aRT(s):   6.741  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:18:02 EST 2021 | tT(mins):   6.39  |  f: 0 | RT(s):  11.777 | aRT(s):   6.837  maxRT(s):  12.483 | minRT(s):   2.674 
Sun Nov 14 20:18:15 EST 2021 | tT(mins):   6.252 |  f: 0 | RT(s):  12.677 | aRT(s):   6.946  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:18 EST 2021 | tT(mins):   6.313 |  f: 0 | RT(s):   3.594 | aRT(s):   6.886  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:21 EST 2021 | tT(mins):   6.361 |  f: 0 | RT(s):   2.867 | aRT(s):   6.816  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:26 EST 2021 | tT(mins):   6.448 |  f: 0 | RT(s):   5.120 | aRT(s):   6.787  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:31 EST 2021 | tT(mins):   6.530 |  f: 0 | RT(s):   4.835 | aRT(s):   6.755  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:35 EST 2021 | tT(mins):   6.588 |  f: 0 | RT(s):   3.466 | aRT(s):   6.700  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:41 EST 2021 | tT(mins):   6.690 |  f: 0 | RT(s):   6.27  | aRT(s):   6.690  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:44 EST 2021 | tT(mins):   6.746 |  f: 0 | RT(s):   3.302 | aRT(s):   6.636  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:50 EST 2021 | tT(mins):   6.849 |  f: 0 | RT(s):   6.76  | aRT(s):   6.628  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:18:58 EST 2021 | tT(mins):   6.970 |  f: 0 | RT(s):   7.202 | aRT(s):   6.638  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:05 EST 2021 | tT(mins):   7.95  |  f: 0 | RT(s):   7.429 | aRT(s):   6.651  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:13 EST 2021 | tT(mins):   7.230 |  f: 0 | RT(s):   8.19  | aRT(s):   6.673  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:18 EST 2021 | tT(mins):   7.313 |  f: 0 | RT(s):   4.910 | aRT(s):   6.648  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:24 EST 2021 | tT(mins):   7.401 |  f: 0 | RT(s):   5.231 | aRT(s):   6.628  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:27 EST 2021 | tT(mins):   7.460 |  f: 0 | RT(s):   3.514 | aRT(s):   6.583  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:33 EST 2021 | tT(mins):   7.557 |  f: 0 | RT(s):   5.700 | aRT(s):   6.571  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:37 EST 2021 | tT(mins):   7.622 |  f: 0 | RT(s):   3.848 | aRT(s):   6.533  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:42 EST 2021 | tT(mins):   7.711 |  f: 0 | RT(s):   5.299 | aRT(s):   6.516  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:19:51 EST 2021 | tT(mins):   7.861 |  f: 0 | RT(s):   8.940 | aRT(s):   6.551  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:00 EST 2021 | tT(mins):   7.999 |  f: 0 | RT(s):   8.208 | aRT(s):   6.575  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:04 EST 2021 | tT(mins):   8.82  |  f: 0 | RT(s):   4.878 | aRT(s):   6.553  maxRT(s):  12.677 | minRT(s):   2.674 
